hd,Name,Object,Info,Price,img,Skymap,wikipedia
520,520,star,,100,,yes,
521,521,star,,100,,yes,
523,523,star,,100,,yes,
524,524,star,,100,,yes,
525,525,star,,100,,yes,
528,528,star,,100,,yes,
529,529,star,,100,,yes,
530,530,star,,100,,yes,
531,531,star,,100,,yes,
533,533,star,,100,,yes,
536,536,star,,100,,yes,
537,537,star,,100,,yes,
538,538,star,,100,,yes,
541,541,star,,100,,yes,
542,542,star,,100,,yes,
543,543,star,,100,,yes,
544,544,star,,100,,yes,
545,545,star,,100,,yes,
546,546,star,,100,,yes,
547,547,star,,100,,yes,
553,553,star,,100,,yes,
554,554,star,,100,,yes,
556,556,star,,100,,yes,
557,557,star,,100,,yes,
558,558,star,,100,,yes,
559,559,star,,100,,yes,
560,560,star,,100,,yes,
561,561,star,,100,,yes,
562,562,star,,100,,yes,
563,563,star,,100,,yes,
564,564,star,,100,,yes,
565,565,star,,100,,yes,
567,567,star,,100,,yes,
568,568,star,,100,,yes,
569,569,star,,100,,yes,
571,571,star,,100,,yes,
573,573,star,,100,,yes,
575,575,star,,100,,yes,
576,576,star,,100,,yes,
577,577,star,,100,,yes,
578,578,star,,100,,yes,
581,581,star,,100,,yes,
583,583,star,,100,,yes,
584,584,star,,100,,yes,
585,585,star,,100,,yes,
587,587,star,,100,,yes,
592,592,star,,100,,yes,
593,593,star,,100,,yes,
595,595,star,,100,,yes,
596,596,star,,100,,yes,
598,598,star,,100,,yes,
600,600,star,,100,,yes,
602,602,star,,100,,yes,
603,603,star,,100,,yes,
604,604,star,,100,,yes,
606,606,star,,100,,yes,
610,610,star,,100,,yes,
612,612,star,,100,,yes,
613,613,star,,100,,yes,
615,615,star,,100,,yes,
619,619,star,,100,,yes,
620,620,star,,100,,yes,
621,621,star,,100,,yes,
624,624,star,,100,,yes,
626,626,star,,100,,yes,
627,627,star,,100,,yes,
628,628,star,,100,,yes,
629,629,star,,100,,yes,
630,630,star,,100,,yes,
631,631,star,,100,,yes,
632,632,star,,100,,yes,
633,633,star,,100,,yes,
635,635,star,,100,,yes,
636,636,star,,100,,yes,
639,639,star,,100,,yes,
640,640,star,,100,,yes,
641,641,star,,100,,yes,
645,645,star,,100,,yes,
647,647,star,,100,,yes,
648,648,star,,100,,yes,
652,652,star,,100,,yes,
655,655,star,,100,,yes,
656,656,star,,100,,yes,
657,657,star,,100,,yes,
659,659,star,,100,,yes,
660,660,star,,100,,yes,
661,661,star,,100,,yes,
663,663,star,,100,,yes,
664,664,star,,100,,yes,
665,665,star,,100,,yes,
666,666,star,,100,,yes,
669,669,star,,100,,yes,
672,672,star,,100,,yes,
673,673,star,,100,,yes,
675,675,star,,100,,yes,
677,677,star,,100,,yes,
678,678,star,,100,,yes,
680,680,star,,100,,yes,
681,681,star,,100,,yes,
684,684,star,,100,,yes,
685,685,star,,100,,yes,
688,688,star,,100,,yes,
691,691,star,,100,,yes,
693,693,star,,100,,yes,
695,695,star,,100,,yes,
698,698,star,,100,,yes,
700,700,star,,100,,yes,
702,702,star,,100,,yes,
704,704,star,,100,,yes,
705,705,star,,100,,yes,
706,706,star,,100,,yes,
